num_coeffs,device,duration(s)
31,cpu,0.001719471
1,cpu,0.000160567
31,cpu,0.001639467
1,cpu,0.000160951
31,cpu,0.002184094
1,cpu,0.000157923
31,cpu,0.001433929
1,cpu,0.000205785
31,cpu,0.002205698
1,cpu,0.000165282
37,cpu,0.00239197
1,cpu,0.000154776
45,cpu,0.001484092
1,cpu,0.000155396
31,cpu,0.002558022
1,cpu,0.000208321
31,cpu,0.001524568
1,cpu,0.000162403
31,cpu,0.001989943
1,cpu,0.000161048
31,cpu,0.002364759
1,cpu,0.000160747
31,cpu,0.002429028
1,cpu,0.000155689
31,cpu,0.001662934
1,cpu,0.000160205
31,cpu,0.001749049
1,cpu,0.000156182
31,cpu,0.001539388
1,cpu,0.000162102
31,cpu,0.001710287
1,cpu,0.000155043
31,cpu,0.002193976
1,cpu,0.000156043
33,cpu,0.001744068
1,cpu,0.00015499
71,cpu,0.001627347
1,cpu,0.000171999
31,cpu,0.001658955
1,cpu,0.000154936
31,cpu,0.001417796
1,cpu,0.000160808
31,cpu,0.002342851
1,cpu,0.00016044
31,cpu,0.002201739
1,cpu,0.000156472
31,cpu,0.002125819
1,cpu,0.000178504
31,cpu,0.002157139
1,cpu,0.000157243
31,cpu,0.002031508
1,cpu,0.00015526
31,cpu,0.001529819
1,cpu,0.000156151
31,cpu,0.002002284
1,cpu,0.000295593
31,cpu,0.002099983
1,cpu,0.000304807
37,cpu,0.002612331
1,cpu,0.000161043
45,cpu,0.00173062
1,cpu,0.00016012
31,cpu,0.00184814
1,cpu,0.000160565
31,cpu,0.002036242
1,cpu,0.000155246
31,cpu,0.001507654
1,cpu,0.000155416
31,cpu,0.001638072
1,cpu,0.000156104
31,cpu,0.001994236
1,cpu,0.000155191
31,cpu,0.001542776
1,cpu,0.000156326
31,cpu,0.001973678
1,cpu,0.000155463
37,cpu,0.002532978
1,cpu,0.000154952
31,cpu,0.001498157
1,cpu,0.000155789
31,cpu,0.002248484
1,cpu,0.000156857
31,cpu,0.002081574
1,cpu,0.000301266
31,cpu,0.002285018
1,cpu,0.00029928
31,cpu,0.002703107
1,cpu,0.000173133
31,cpu,0.002428357
1,cpu,0.000168508
31,cpu,0.00217554
1,cpu,0.000162103
31,cpu,0.00206904
1,cpu,0.000170982
31,cpu,0.001807452
1,cpu,0.000170792
37,cpu,0.001940991
1,cpu,0.000157304
45,cpu,0.002040973
1,cpu,0.00016043
31,cpu,0.00188313
